risk_id,project_id,sector,location,risk_category,risk_description,probability,impact,severity_label
R0001,P001,manufacturing,Livingstone,Technical,"A significant risk: a compatibility issue between the staff training programme and the existing point-of-sale hardware, which may require escalation to senior management to resolve issues with the staff training programme.",0.49,0.49,High
R0002,P002,manufacturing,Livingstone,Technical,"A moderate risk: a performance bottleneck in the mobile money integration under the low-bandwidth conditions typical in Livingstone, which could delay the mobile money integration by one to two weeks if not addressed promptly.",0.4,0.26,Medium
R0003,P003,hospitality,Kitwe,Cost/Financial,"A noticeable risk: a budget overrun caused by unforeseen consulting fees on the new inventory management system, which could delay the new inventory management system by one to two weeks if not addressed promptly.",0.35,0.3,Medium
R0004,P004,agribusiness,Chipata,Cost/Financial,"A noticeable risk: a budget overrun caused by unforeseen consulting fees on the solar power installation, which has raised concerns among the project team about the quality of the solar power installation.",0.47,0.41,Medium
R0005,P005,manufacturing,Solwezi,External/Stakeholder,"A moderate risk: broader economic instability affecting business confidence in the financial reporting system, which could delay the financial reporting system by one to two weeks if not addressed promptly.",0.46,0.26,Medium
R0006,P006,mining supply chain,Chipata,Technical,"A severe risk: a licensing conflict with third-party software used in the customer database migration, which could halt the customer database migration entirely until resolved.",0.82,0.73,Critical
R0007,P007,manufacturing,Kitwe,External/Stakeholder,"A significant risk: a logistics disruption during the rainy season affecting deliveries for the mobile money integration, which may require escalation to senior management to resolve issues with the mobile money integration.",0.5,0.58,High
R0008,P008,logistics,Lusaka,Technical,"A growing risk: a licensing conflict with third-party software used in the e-commerce platform rollout, which could delay the e-commerce platform rollout by one to two weeks if not addressed promptly.",0.37,0.27,Medium
R0009,P009,ICT/software services,Kitwe,Resource/Staffing,"A significant risk: high staff turnover during the implementation of the point-of-sale upgrade, which may require escalation to senior management to resolve issues with the point-of-sale upgrade.",0.49,0.71,High
R0010,P010,manufacturing,Solwezi,Scope/Requirements,"A noticeable risk: frequent change requests from stakeholders affecting the customer database migration, which could delay the customer database migration by one to two weeks if not addressed promptly.",0.55,0.29,Medium
R0011,P011,retail,Kabwe,Schedule,"A severe risk: rainy-season disruptions to site logistics for the warehouse expansion project in Kabwe, which may result in the SME abandoning the warehouse expansion project altogether.",0.73,0.81,Critical
R0012,P012,logistics,Chipata,Technical,"A severe risk: a software bug discovered in the core module of the mobile money integration, which may result in the SME abandoning the mobile money integration altogether.",0.64,0.75,Critical
R0013,P013,retail,Kitwe,Cost/Financial,"A potentially catastrophic risk: a supplier price increase affecting the procurement plan for the branch network expansion, which could halt the branch network expansion entirely until resolved.",0.9,0.7,Critical
R0014,P014,logistics,Lusaka,Schedule,"A noticeable risk: rainy-season disruptions to site logistics for the branch network expansion in Lusaka, which could delay the branch network expansion by one to two weeks if not addressed promptly.",0.4,0.28,Medium
R0015,P015,mining supply chain,Ndola,Scope/Requirements,"A slight risk: additional feature requests expanding the original scope of the mobile money integration, which was identified early and resolved with minimal effort.",0.29,0.34,Medium
R0016,P016,hospitality,Chipata,Scope/Requirements,"A significant risk: a misalignment between business requirements and the technical design of the warehouse expansion project, which may require escalation to senior management to resolve issues with the warehouse expansion project.",0.74,0.78,Critical
R0017,P017,mining supply chain,Choma,External/Stakeholder,"A noticeable risk: frequent ZESCO load shedding affecting day-to-day operations during the solar power installation, which has raised concerns among the project team about the quality of the solar power installation.",0.29,0.32,Medium
R0018,P018,retail,Lusaka,Scope/Requirements,"A moderate risk: unclear requirements from management regarding the scope of the e-commerce platform rollout, which is likely to require additional resources to keep the e-commerce platform rollout on track.",0.46,0.27,Medium
R0019,P019,manufacturing,Choma,Schedule,"A slight risk: rescheduled staff training sessions delaying the rollout of the staff training programme, which was identified early and resolved with minimal effort.",0.21,0.27,Low
R0020,P020,retail,Ndola,Resource/Staffing,"A major risk: reliance on part-time staff to support the e-commerce platform rollout after hours, which may require escalation to senior management to resolve issues with the e-commerce platform rollout.",0.65,0.57,High
R0021,P021,hospitality,Lusaka,External/Stakeholder,"A minor risk: a logistics disruption during the rainy season affecting deliveries for the mobile money integration, which was identified early and resolved with minimal effort.",0.27,0.29,Low
R0022,P022,construction,Kabwe,Resource/Staffing,"A minor risk: reliance on part-time staff to support the warehouse expansion project after hours, which required minor adjustments but did not affect the overall plan for the warehouse expansion project.",0.13,0.12,Low
R0023,P023,retail,Lusaka,External/Stakeholder,"A minor risk: a security incident at the project site affecting the branch network expansion, which caused only a brief delay to the branch network expansion.",0.33,0.3,Medium
R0024,P024,hospitality,Kitwe,Resource/Staffing,"A noticeable risk: high staff turnover during the implementation of the new inventory management system, which is likely to require additional resources to keep the new inventory management system on track.",0.25,0.37,Medium
R0025,P025,construction,Choma,External/Stakeholder,"A serious risk: frequent ZESCO load shedding affecting day-to-day operations during the branch network expansion, which may require escalation to senior management to resolve issues with the branch network expansion.",0.51,0.53,High
R0026,P026,construction,Choma,Technical,"A moderate risk: a compatibility issue between the financial reporting system and the existing point-of-sale hardware, which has raised concerns among the project team about the quality of the financial reporting system.",0.27,0.4,Medium
R0027,P027,manufacturing,Ndola,Schedule,"A minor risk: the user-acceptance testing phase for the customer database migration taking longer than planned, which required minor adjustments but did not affect the overall plan for the customer database migration.",0.22,0.06,Low
R0028,P028,manufacturing,Chipata,Scope/Requirements,"A noticeable risk: an underestimation of the complexity of business processes covered by the solar power installation, which could delay the solar power installation by one to two weeks if not addressed promptly.",0.45,0.34,Medium
R0029,P029,retail,Solwezi,Cost/Financial,"A significant risk: a budget overrun caused by unforeseen consulting fees on the point-of-sale upgrade, which threatens to push the point-of-sale upgrade significantly behind schedule.",0.45,0.67,High
R0030,P030,logistics,Kitwe,Scope/Requirements,"A noticeable risk: incomplete requirements gathering due to limited stakeholder availability for the staff training programme, which could delay the staff training programme by one to two weeks if not addressed promptly.",0.51,0.51,High
R0031,P031,ICT/software services,Lusaka,Scope/Requirements,"A moderate risk: incomplete requirements gathering due to limited stakeholder availability for the staff training programme, which could delay the staff training programme by one to two weeks if not addressed promptly.",0.53,0.28,Medium
R0032,P032,ICT/software services,Kitwe,External/Stakeholder,"A severe risk: a logistics disruption during the rainy season affecting deliveries for the branch network expansion, which may result in the SME abandoning the branch network expansion altogether.",0.7,0.67,Critical
R0033,P033,ICT/software services,Choma,Cost/Financial,"A serious risk: underestimated cloud hosting costs for the branch network expansion, which could substantially increase the overall cost of the branch network expansion.",0.72,0.75,Critical
R0034,P034,construction,Chipata,Cost/Financial,"A small risk: ZMW depreciation against the US dollar increasing the cost of software licences for the warehouse expansion project, which was identified early and resolved with minimal effort.",0.27,0.22,Low
R0035,P035,logistics,Lusaka,External/Stakeholder,"A minor risk: frequent ZESCO load shedding affecting day-to-day operations during the warehouse expansion project, which caused only a brief delay to the warehouse expansion project.",0.22,0.09,Low
R0036,P036,manufacturing,Livingstone,Technical,"A growing risk: a performance bottleneck in the solar power installation under the low-bandwidth conditions typical in Livingstone, which has raised concerns among the project team about the quality of the solar power installation.",0.45,0.36,Medium
R0037,P037,hospitality,Kitwe,Schedule,"A major risk: the user-acceptance testing phase for the warehouse expansion project taking longer than planned, which may require escalation to senior management to resolve issues with the warehouse expansion project.",0.46,0.71,High
R0038,P038,retail,Kitwe,Schedule,"A severe risk: scope creep that is pushing back the planned milestones for the staff training programme, which could halt the staff training programme entirely until resolved.",0.73,0.61,High
R0039,P039,manufacturing,Chipata,Resource/Staffing,"A major risk: over-reliance on a single subject-matter expert for the solar power installation, which could substantially increase the overall cost of the solar power installation.",0.52,0.68,High
R0040,P040,logistics,Kabwe,Cost/Financial,"A severe risk: import duties on hardware for the solar power installation being higher than originally estimated, which may result in the SME abandoning the solar power installation altogether.",0.93,0.64,Critical
R0041,P041,hospitality,Ndola,Cost/Financial,"A severe risk: a budget overrun caused by unforeseen consulting fees on the new inventory management system, which poses a serious risk to the successful completion of the new inventory management system.",0.72,0.88,Critical
R0042,P042,hospitality,Lusaka,Schedule,"A potentially catastrophic risk: scope creep that is pushing back the planned milestones for the staff training programme, which poses a serious risk to the successful completion of the staff training programme.",0.6,0.92,Critical
R0043,P043,retail,Solwezi,External/Stakeholder,"A noticeable risk: a security incident at the project site affecting the solar power installation, which is likely to require additional resources to keep the solar power installation on track.",0.47,0.34,Medium
R0044,P044,manufacturing,Kitwe,Cost/Financial,"A growing risk: import duties on hardware for the branch network expansion being higher than originally estimated, which has raised concerns among the project team about the quality of the branch network expansion.",0.38,0.53,Medium
R0045,P045,ICT/software services,Lusaka,Resource/Staffing,"A growing risk: over-reliance on a single subject-matter expert for the branch network expansion, which is likely to require additional resources to keep the branch network expansion on track.",0.34,0.38,Medium
R0046,P046,construction,Choma,External/Stakeholder,"A growing risk: delays in approvals from an external stakeholder (e.g. a bank or regulator) needed for the e-commerce platform rollout, which could delay the e-commerce platform rollout by one to two weeks if not addressed promptly.",0.45,0.34,Medium
